x,y,height
-5.0,-5.0,0.1274
-4.666666666666667,-5.0,0.018805
-4.333333333333333,-5.0,-0.06814
-4.0,-5.0,-0.03731
-3.666666666666667,-5.0,0.10134
-3.3333333333333335,-5.0,0.239258
-3.0,-5.0,0.266883
-2.666666666666667,-5.0,0.17203
-2.3333333333333335,-5.0,0.04913
-2.0,-5.0,0.011329
-1.666666666666667,-5.0,0.086564
-1.3333333333333335,-5.0,0.193193
-1.0,-5.0,0.217345
-0.666666666666667,-5.0,0.120425
-0.3333333333333339,-5.0,-0.022583
0.0,-5.0,-0.089708
0.33333333333333304,-5.0,-0.022583
0.6666666666666661,-5.0,0.120425
1.0,-5.0,0.217345
1.333333333333333,-5.0,0.193193
1.666666666666666,-5.0,0.086564
2.0,-5.0,0.011329
2.333333333333333,-5.0,0.04913
2.666666666666666,-5.0,0.17203
3.0,-5.0,0.266883
3.333333333333332,-5.0,0.239258
3.666666666666666,-5.0,0.10134
4.0,-5.0,-0.03731
4.333333333333332,-5.0,-0.06814
4.666666666666666,-5.0,0.018805
5.0,-5.0,0.1274
-5.0,-4.666666666666667,0.018805
-4.666666666666667,-4.666666666666667,0.063171
-4.333333333333333,-4.666666666666667,0.111554
-4.0,-4.666666666666667,0.145285
-3.666666666666667,-4.666666666666667,0.162679
-3.3333333333333335,-4.666666666666667,0.177917
-3.0,-4.666666666666667,0.204483
-2.666666666666667,-4.666666666666667,0.239021
-2.3333333333333335,-4.666666666666667,0.261298
-2.0,-4.666666666666667,0.251075
-1.666666666666667,-4.666666666666667,0.206879
-1.3333333333333335,-4.666666666666667,0.149456
-1.0,-4.666666666666667,0.106347
-0.666666666666667,-4.666666666666667,0.091051
-0.3333333333333339,-4.666666666666667,0.095104
0.0,-4.666666666666667,0.099619
0.33333333333333304,-4.666666666666667,0.095104
0.6666666666666661,-4.666666666666667,0.091051
1.0,-4.666666666666667,0.106347
1.333333333333333,-4.666666666666667,0.149456
1.666666666666666,-4.666666666666667,0.206879
2.0,-4.666666666666667,0.251075
2.333333333333333,-4.666666666666667,0.261298
2.666666666666666,-4.666666666666667,0.239021
3.0,-4.666666666666667,0.204483
3.333333333333332,-4.666666666666667,0.177917
3.666666666666666,-4.666666666666667,0.162679
4.0,-4.666666666666667,0.145285
4.333333333333332,-4.666666666666667,0.111554
4.666666666666666,-4.666666666666667,0.063171
5.0,-4.666666666666667,0.018805
-5.0,-4.333333333333333,-0.06814
-4.666666666666667,-4.333333333333333,0.111554
-4.333333333333333,-4.333333333333333,0.281322
-4.0,-4.333333333333333,0.323591
-3.666666666666667,-4.333333333333333,0.243249
-3.3333333333333335,-4.333333333333333,0.159176
-3.0,-4.333333333333333,0.189684
-2.666666666666667,-4.333333333333333,0.338155
-2.3333333333333335,-4.333333333333333,0.485272
-2.0,-4.333333333333333,0.49614
-1.666666666666667,-4.333333333333333,0.344546
-1.3333333333333335,-4.333333333333333,0.140197
-1.0,-4.333333333333333,0.033297
-0.666666666666667,-4.333333333333333,0.083138
-0.3333333333333339,-4.333333333333333,0.210294
0.0,-4.333333333333333,0.275237
0.33333333333333304,-4.333333333333333,0.210294
0.6666666666666661,-4.333333333333333,0.083138
1.0,-4.333333333333333,0.033297
1.333333333333333,-4.333333333333333,0.140197
1.666666666666666,-4.333333333333333,0.344546
2.0,-4.333333333333333,0.49614
2.333333333333333,-4.333333333333333,0.485272
2.666666666666666,-4.333333333333333,0.338155
3.0,-4.333333333333333,0.189684
3.333333333333332,-4.333333333333333,0.159176
3.666666666666666,-4.333333333333333,0.243249
4.0,-4.333333333333333,0.323591
4.333333333333332,-4.333333333333333,0.281322
4.666666666666666,-4.333333333333333,0.111554
5.0,-4.333333333333333,-0.06814
-5.0,-4.0,-0.03731
-4.666666666666667,-4.0,0.145285
-4.333333333333333,-4.0,0.323591
-4.0,-4.0,0.38742
-3.666666666666667,-4.0,0.339145
-3.3333333333333335,-4.0,0.285974
-3.0,-4.0,0.334033
-2.666666666666667,-4.0,0.483003
-2.3333333333333335,-4.0,0.619908
-2.0,-4.0,0.619384
-1.666666666666667,-4.0,0.459277
-1.3333333333333335,-4.0,0.245382
-1.0,-4.0,0.121775
-0.666666666666667,-4.0,0.147684
-0.3333333333333339,-4.0,0.25239
0.0,-4.0,0.308058
0.33333333333333304,-4.0,0.25239
0.6666666666666661,-4.0,0.147684
1.0,-4.0,0.121775
1.333333333333333,-4.0,0.245382
1.666666666666666,-4.0,0.459277
2.0,-4.0,0.619384
2.333333333333333,-4.0,0.619908
2.666666666666666,-4.0,0.483003
3.0,-4.0,0.334033
3.333333333333332,-4.0,0.285974
3.666666666666666,-4.0,0.339145
4.0,-4.0,0.38742
4.333333333333332,-4.0,0.323591
4.666666666666666,-4.0,0.145285
5.0,-4.0,-0.03731
-5.0,-3.666666666666667,0.10134
-4.666666666666667,-3.666666666666667,0.162679
-4.333333333333333,-3.666666666666667,0.243249
-4.0,-3.666666666666667,0.339145
-3.666666666666667,-3.666666666666667,0.44192
-3.3333333333333335,-3.666666666666667,0.539106
-3.0,-3.666666666666667,0.616085
-2.666666666666667,-3.666666666666667,0.659357
-2.3333333333333335,-3.666666666666667,0.660453
-2.0,-3.666666666666667,0.619028
-1.666666666666667,-3.666666666666667,0.543612
-1.3333333333333335,-3.666666666666667,0.449483
-1.0,-3.666666666666667,0.354534
-0.666666666666667,-3.666666666666667,0.275016
-0.3333333333333339,-3.666666666666667,0.222806
0.0,-3.666666666666667,0.204688
0.33333333333333304,-3.666666666666667,0.222806
0.6666666666666661,-3.666666666666667,0.275016
1.0,-3.666666666666667,0.354534
1.333333333333333,-3.666666666666667,0.449483
1.666666666666666,-3.666666666666667,0.543612
2.0,-3.666666666666667,0.619028
2.333333333333333,-3.666666666666667,0.660453
2.666666666666666,-3.666666666666667,0.659357
3.0,-3.666666666666667,0.616085
3.333333333333332,-3.666666666666667,0.539106
3.666666666666666,-3.666666666666667,0.44192
4.0,-3.666666666666667,0.339145
4.333333333333332,-3.666666666666667,0.243249
4.666666666666666,-3.666666666666667,0.162679
5.0,-3.666666666666667,0.10134
-5.0,-3.3333333333333335,0.239258
-4.666666666666667,-3.3333333333333335,0.177917
-4.333333333333333,-3.3333333333333335,0.159176
-4.0,-3.3333333333333335,0.285974
-3.666666666666667,-3.3333333333333335,0.539106
-3.3333333333333335,-3.3333333333333335,0.786028
-3.0,-3.3333333333333335,0.891006
-2.666666666666667,-3.3333333333333335,0.82748
-2.3333333333333335,-3.3333333333333335,0.692105
-2.0,-3.3333333333333335,0.610153
-1.666666666666667,-3.3333333333333335,0.62087
-1.3333333333333335,-3.3333333333333335,0.648373
-1.0,-3.3333333333333335,0.583526
-0.666666666666667,-3.3333333333333335,0.399171
-0.3333333333333339,-3.3333333333333335,0.190014
0.0,-3.3333333333333335,0.098007
0.33333333333333304,-3.3333333333333335,0.190014
0.6666666666666661,-3.3333333333333335,0.399171
1.0,-3.3333333333333335,0.583526
1.333333333333333,-3.3333333333333335,0.648373
1.666666666666666,-3.3333333333333335,0.62087
2.0,-3.3333333333333335,0.610153
2.333333333333333,-3.3333333333333335,0.692105
2.666666666666666,-3.3333333333333335,0.82748
3.0,-3.3333333333333335,0.891006
3.333333333333332,-3.3333333333333335,0.786028
3.666666666666666,-3.3333333333333335,0.539106
4.0,-3.3333333333333335,0.285974
4.333333333333332,-3.3333333333333335,0.159176
4.666666666666666,-3.3333333333333335,0.177917
5.0,-3.3333333333333335,0.239258
-5.0,-3.0,0.266883
-4.666666666666667,-3.0,0.204483
-4.333333333333333,-3.0,0.189684
-4.0,-3.0,0.334033
-3.666666666666667,-3.0,0.616085
-3.3333333333333335,-3.0,0.891006
-3.0,-3.0,1.010349
-2.666666666666667,-3.0,0.944329
-2.3333333333333335,-3.0,0.797354
-2.0,-3.0,0.705477
-1.666666666666667,-3.0,0.711916
-1.3333333333333335,-3.0,0.735297
-1.0,-3.0,0.658308
-0.666666666666667,-3.0,0.452569
-0.3333333333333339,-3.0,0.221772
0.0,-3.0,0.12058
0.33333333333333304,-3.0,0.221772
0.6666666666666661,-3.0,0.452569
1.0,-3.0,0.658308
1.333333333333333,-3.0,0.735297
1.666666666666666,-3.0,0.711916
2.0,-3.0,0.705477
2.333333333333333,-3.0,0.797354
2.666666666666666,-3.0,0.944329
3.0,-3.0,1.010349
3.333333333333332,-3.0,0.891006
3.666666666666666,-3.0,0.616085
4.0,-3.0,0.334033
4.333333333333332,-3.0,0.189684
4.666666666666666,-3.0,0.204483
5.0,-3.0,0.266883
-5.0,-2.666666666666667,0.17203
-4.666666666666667,-2.666666666666667,0.239021
-4.333333333333333,-2.666666666666667,0.338155
-4.0,-2.666666666666667,0.483003
-3.666666666666667,-2.666666666666667,0.659357
-3.3333333333333335,-2.666666666666667,0.82748
-3.0,-2.666666666666667,0.944329
-2.666666666666667,-2.666666666666667,0.987942
-2.3333333333333335,-2.666666666666667,0.964954
-2.0,-2.666666666666667,0.897488
-1.666666666666667,-2.666666666666667,0.803467
-1.3333333333333335,-2.666666666666667,0.688659
-1.0,-2.666666666666667,0.556176
-0.666666666666667,-2.666666666666667,0.4218
-0.3333333333333339,-2.666666666666667,0.3177
0.0,-2.666666666666667,0.278077
0.33333333333333304,-2.666666666666667,0.3177
0.6666666666666661,-2.666666666666667,0.4218
1.0,-2.666666666666667,0.556176
1.333333333333333,-2.666666666666667,0.688659
1.666666666666666,-2.666666666666667,0.803467
2.0,-2.666666666666667,0.897488
2.333333333333333,-2.666666666666667,0.964954
2.666666666666666,-2.666666666666667,0.987942
3.0,-2.666666666666667,0.944329
3.333333333333332,-2.666666666666667,0.82748
3.666666666666666,-2.666666666666667,0.659357
4.0,-2.666666666666667,0.483003
4.333333333333332,-2.666666666666667,0.338155
4.666666666666666,-2.666666666666667,0.239021
5.0,-2.666666666666667,0.17203
-5.0,-2.3333333333333335,0.04913
-4.666666666666667,-2.3333333333333335,0.261298
-4.333333333333333,-2.3333333333333335,0.485272
-4.0,-2.3333333333333335,0.619908
-3.666666666666667,-2.3333333333333335,0.660453
-3.3333333333333335,-2.3333333333333335,0.692105
-3.0,-2.3333333333333335,0.797354
-2.666666666666667,-2.3333333333333335,0.964954
-2.3333333333333335,-2.3333333333333335,1.087572
-2.0,-2.3333333333333335,1.053463
-1.666666666666667,-2.3333333333333335,0.849857
-1.3333333333333335,-2.3333333333333335,0.583226
-1.0,-2.3333333333333335,0.396209
-0.666666666666667,-2.3333333333333335,0.354666
-0.3333333333333339,-2.3333333333333335,0.405362
0.0,-2.3333333333333335,0.440144
0.33333333333333304,-2.3333333333333335,0.405362
0.6666666666666661,-2.3333333333333335,0.354666
1.0,-2.3333333333333335,0.396209
1.333333333333333,-2.3333333333333335,0.583226
1.666666666666666,-2.3333333333333335,0.849857
2.0,-2.3333333333333335,1.053463
2.333333333333333,-2.3333333333333335,1.087572
2.666666666666666,-2.3333333333333335,0.964954
3.0,-2.3333333333333335,0.797354
3.333333333333332,-2.3333333333333335,0.692105
3.666666666666666,-2.3333333333333335,0.660453
4.0,-2.3333333333333335,0.619908
4.333333333333332,-2.3333333333333335,0.485272
4.666666666666666,-2.3333333333333335,0.261298
5.0,-2.3333333333333335,0.04913
-5.0,-2.0,0.011329
-4.666666666666667,-2.0,0.251075
-4.333333333333333,-2.0,0.49614
-4.0,-2.0,0.619384
-3.666666666666667,-2.0,0.619028
-3.3333333333333335,-2.0,0.610153
-3.0,-2.0,0.705477
-2.666666666666667,-2.0,0.897488
-2.3333333333333335,-2.0,1.053463
-2.0,-2.0,1.030927
-1.666666666666667,-2.0,0.809249
-1.3333333333333335,-2.0,0.516607
-1.0,-2.0,0.326012
-0.666666666666667,-2.0,0.313301
-0.3333333333333339,-2.0,0.404495
0.0,-2.0,0.458084
0.33333333333333304,-2.0,0.404495
0.6666666666666661,-2.0,0.313301
1.0,-2.0,0.326012
1.333333333333333,-2.0,0.516607
1.666666666666666,-2.0,0.809249
2.0,-2.0,1.030927
2.333333333333333,-2.0,1.053463
2.666666666666666,-2.0,0.897488
3.0,-2.0,0.705477
3.333333333333332,-2.0,0.610153
3.666666666666666,-2.0,0.619028
4.0,-2.0,0.619384
4.333333333333332,-2.0,0.49614
4.666666666666666,-2.0,0.251075
5.0,-2.0,0.011329
-5.0,-1.666666666666667,0.086564
-4.666666666666667,-1.666666666666667,0.206879
-4.333333333333333,-1.666666666666667,0.344546
-4.0,-1.666666666666667,0.459277
-3.666666666666667,-1.666666666666667,0.543612
-3.3333333333333335,-1.666666666666667,0.62087
-3.0,-1.666666666666667,0.711916
-2.666666666666667,-1.666666666666667,0.803467
-2.3333333333333335,-1.666666666666667,0.849857
-2.0,-1.666666666666667,0.809249
-1.666666666666667,-1.666666666666667,0.682638
-1.3333333333333335,-1.666666666666667,0.519955
-1.0,-1.666666666666667,0.386361
-0.666666666666667,-1.666666666666667,0.317322
-0.3333333333333339,-1.666666666666667,0.301023
0.0,-1.666666666666667,0.301766
0.33333333333333304,-1.666666666666667,0.301023
0.6666666666666661,-1.666666666666667,0.317322
1.0,-1.666666666666667,0.386361
1.333333333333333,-1.666666666666667,0.519955
1.666666666666666,-1.666666666666667,0.682638
2.0,-1.666666666666667,0.809249
2.333333333333333,-1.666666666666667,0.849857
2.666666666666666,-1.666666666666667,0.803467
3.0,-1.666666666666667,0.711916
3.333333333333332,-1.666666666666667,0.62087
3.666666666666666,-1.666666666666667,0.543612
4.0,-1.666666666666667,0.459277
4.333333333333332,-1.666666666666667,0.344546
4.666666666666666,-1.666666666666667,0.206879
5.0,-1.666666666666667,0.086564
-5.0,-1.3333333333333335,0.193193
-4.666666666666667,-1.3333333333333335,0.149456
-4.333333333333333,-1.3333333333333335,0.140197
-4.0,-1.3333333333333335,0.245382
-3.666666666666667,-1.3333333333333335,0.449483
-3.3333333333333335,-1.3333333333333335,0.648373
-3.0,-1.3333333333333335,0.735297
-2.666666666666667,-1.3333333333333335,0.688659
-2.3333333333333335,-1.3333333333333335,0.583226
-2.0,-1.3333333333333335,0.516607
-1.666666666666667,-1.3333333333333335,0.519955
-1.3333333333333335,-1.3333333333333335,0.535143
-1.0,-1.3333333333333335,0.478303
-0.666666666666667,-1.3333333333333335,0.329348
-0.3333333333333339,-1.3333333333333335,0.162875
0.0,-1.3333333333333335,0.089966
0.33333333333333304,-1.3333333333333335,0.162875
0.6666666666666661,-1.3333333333333335,0.329348
1.0,-1.3333333333333335,0.478303
1.333333333333333,-1.3333333333333335,0.535143
1.666666666666666,-1.3333333333333335,0.519955
2.0,-1.3333333333333335,0.516607
2.333333333333333,-1.3333333333333335,0.583226
2.666666666666666,-1.3333333333333335,0.688659
3.0,-1.3333333333333335,0.735297
3.333333333333332,-1.3333333333333335,0.648373
3.666666666666666,-1.3333333333333335,0.449483
4.0,-1.3333333333333335,0.245382
4.333333333333332,-1.3333333333333335,0.140197
4.666666666666666,-1.3333333333333335,0.149456
5.0,-1.3333333333333335,0.193193
-5.0,-1.0,0.217345
-4.666666666666667,-1.0,0.106347
-4.333333333333333,-1.0,0.033297
-4.0,-1.0,0.121775
-3.666666666666667,-1.0,0.354534
-3.3333333333333335,-1.0,0.583526
-3.0,-1.0,0.658308
-2.666666666666667,-1.0,0.556176
-2.3333333333333335,-1.0,0.396209
-2.0,-1.0,0.326012
-1.666666666666667,-1.0,0.386361
-1.3333333333333335,-1.0,0.478303
-1.0,-1.0,0.462112
-0.666666666666667,-1.0,0.295549
-0.3333333333333339,-1.0,0.082519
0.0,-1.0,-0.01426
0.33333333333333304,-1.0,0.082519
0.6666666666666661,-1.0,0.295549
1.0,-1.0,0.462112
1.333333333333333,-1.0,0.478303
1.666666666666666,-1.0,0.386361
2.0,-1.0,0.326012
2.333333333333333,-1.0,0.396209
2.666666666666666,-1.0,0.556176
3.0,-1.0,0.658308
3.333333333333332,-1.0,0.583526
3.666666666666666,-1.0,0.354534
4.0,-1.0,0.121775
4.333333333333332,-1.0,0.033297
4.666666666666666,-1.0,0.106347
5.0,-1.0,0.217345
-5.0,-0.666666666666667,0.120425
-4.666666666666667,-0.666666666666667,0.091051
-4.333333333333333,-0.666666666666667,0.083138
-4.0,-0.666666666666667,0.147684
-3.666666666666667,-0.666666666666667,0.275016
-3.3333333333333335,-0.666666666666667,0.399171
-3.0,-0.666666666666667,0.452569
-2.666666666666667,-0.666666666666667,0.4218
-2.3333333333333335,-0.666666666666667,0.354666
-2.0,-0.666666666666667,0.313301
-1.666666666666667,-0.666666666666667,0.317322
-1.3333333333333335,-0.666666666666667,0.329348
-1.0,-0.666666666666667,0.295549
-0.666666666666667,-0.666666666666667,0.202734
-0.3333333333333339,-0.666666666666667,0.098084
0.0,-0.666666666666667,0.052133
0.33333333333333304,-0.666666666666667,0.098084
0.6666666666666661,-0.666666666666667,0.202734
1.0,-0.666666666666667,0.295549
1.333333333333333,-0.666666666666667,0.329348
1.666666666666666,-0.666666666666667,0.317322
2.0,-0.666666666666667,0.313301
2.333333333333333,-0.666666666666667,0.354666
2.666666666666666,-0.666666666666667,0.4218
3.0,-0.666666666666667,0.452569
3.333333333333332,-0.666666666666667,0.399171
3.666666666666666,-0.666666666666667,0.275016
4.0,-0.666666666666667,0.147684
4.333333333333332,-0.666666666666667,0.083138
4.666666666666666,-0.666666666666667,0.091051
5.0,-0.666666666666667,0.120425
-5.0,-0.3333333333333339,-0.022583
-4.666666666666667,-0.3333333333333339,0.095104
-4.333333333333333,-0.3333333333333339,0.210294
-4.0,-0.3333333333333339,0.25239
-3.666666666666667,-0.3333333333333339,0.222806
-3.3333333333333335,-0.3333333333333339,0.190014
-3.0,-0.3333333333333339,0.221772
-2.666666666666667,-0.3333333333333339,0.3177
-2.3333333333333335,-0.3333333333333339,0.405362
-2.0,-0.3333333333333339,0.404495
-1.666666666666667,-0.3333333333333339,0.301023
-1.3333333333333335,-0.3333333333333339,0.162875
-1.0,-0.3333333333333339,0.082519
-0.666666666666667,-0.3333333333333339,0.098084
-0.3333333333333339,-0.3333333333333339,0.164447
0.0,-0.3333333333333339,0.199854
0.33333333333333304,-0.3333333333333339,0.164447
0.6666666666666661,-0.3333333333333339,0.098084
1.0,-0.3333333333333339,0.082519
1.333333333333333,-0.3333333333333339,0.162875
1.666666666666666,-0.3333333333333339,0.301023
2.0,-0.3333333333333339,0.404495
2.333333333333333,-0.3333333333333339,0.405362
2.666666666666666,-0.3333333333333339,0.3177
3.0,-0.3333333333333339,0.221772
3.333333333333332,-0.3333333333333339,0.190014
3.666666666666666,-0.3333333333333339,0.222806
4.0,-0.3333333333333339,0.25239
4.333333333333332,-0.3333333333333339,0.210294
4.666666666666666,-0.3333333333333339,0.095104
5.0,-0.3333333333333339,-0.022583
-5.0,0.0,-0.089708
-4.666666666666667,0.0,0.099619
-4.333333333333333,0.0,0.275237
-4.0,0.0,0.308058
-3.666666666666667,0.0,0.204688
